信号日期,起始日期,结束日期,总收益率,成分股数量,最大回撤,累计点位,信号文件
2024-12-10,2024-12-11,2024-12-11,-0.07%,45,0.00%,999.25,trading_signals_20241210_093757.csv
2024-12-09,2024-12-10,2024-12-11,1.63%,26,0.06%,1016.28,trading_signals_20241209_095040.csv
2024-12-06,2024-12-09,2024-12-11,-0.88%,36,0.59%,991.21,trading_signals_20241206_113910.csv
2024-12-04,2024-12-05,2024-12-11,0.58%,50,0.64%,1005.75,trading_signals_20241204_145247.csv
2024-12-03,2024-12-04,2024-12-11,0.33%,50,0.77%,1003.29,trading_signals_20241203_145455.csv
2024-12-02,2024-12-03,2024-12-11,2.03%,50,0.31%,1020.32,trading_signals_20241202_185632.csv
