,code,name,signal,price,date,market_value,daily_amount
301517,301517,陕西华达,卖出,67.4,2024-11-08,7280999580.0,836361769.66
301603,301603,乔锋智能,买入,46.85,2024-11-08,5657606000.0,212308736.4
600010,600010,包钢股份,卖出,2.2,2024-11-08,99890872946.0,4244229652.0
600016,600016,民生银行,买入,3.93,2024-11-08,172064904713.0,822976087.0
600021,600021,上海电力,卖出,10.34,2024-11-08,29125129289.0,1247339203.0
600030,600030,中信证券,卖出,34.88,2024-11-08,516940673396.0,26491205205.0
600118,600118,中国卫星,卖出,31.54,2024-11-08,37295707318.0,3348812191.0
600132,600132,重庆啤酒,卖出,65.25,2024-11-08,31579120670.0,527414480.0
600157,600157,永泰能源,卖出,1.75,2024-11-08,38881087254.0,4833167974.0
600188,600188,兖矿能源,买入,16.12,2024-11-08,161842549680.0,816460584.0
600221,600221,海航控股,卖出,2.23,2024-11-08,96370860553.0,10447899581.0
600309,600309,万华化学,买入,81.56,2024-11-08,256077734817.0,3880527827.0
600326,600326,西藏天路,卖出,7.92,2024-11-08,10329622919.0,1713665041.0
600332,600332,白云山,卖出,29.57,2024-11-08,48074638362.0,422261276.0
600346,600346,恒力石化,买入,15.29,2024-11-08,107627835728.0,627989469.0
600348,600348,华阳股份,买入,7.89,2024-11-08,28463175000.0,557635890.0
600415,600415,小商品城,卖出,12.56,2024-11-08,68874592831.0,2007952252.0
600436,600436,片仔癀,卖出,254.5,2024-11-08,153544229945.0,923942398.0
600446,600446,金证股份,卖出,17.7,2024-11-08,16749067589.0,1699030650.0
600489,600489,中金黄金,买入,13.2,2024-11-08,63984525845.0,1550626374.0
600518,600518,康美药业,卖出,2.57,2024-11-08,35630137393.0,4278442921.0
600535,600535,天士力,卖出,15.74,2024-11-08,23514773079.0,465855612.0
600536,600536,中国软件,卖出,65.7,2024-11-08,55856195083.0,4390419571.0
600566,600566,济川药业,卖出,32.54,2024-11-08,29992253366.0,267429290.0
600570,600570,恒生电子,卖出,31.66,2024-11-08,59968623577.0,4420809079.0
600584,600584,长电科技,卖出,43.61,2024-11-08,78036369398.0,5343170107.0
600588,600588,用友网络,卖出,12.58,2024-11-08,42985827405.0,1790477656.0
600606,600606,绿地控股,卖出,2.61,2024-11-08,36681509800.0,1493515130.0
