日期,指数涨跌幅,指数点位
2024-12-03,0.0077244435778064694,1007.7244435778066
2024-12-04,-0.0015384713800195024,1006.174088362416
2024-12-05,-0.0015210830396652222,1004.6436140216573
2024-12-06,0.008978597252354358,1013.6639044141076
2024-12-09,-0.0004961028845024397,1013.1610228272119
2024-12-10,0.0032611070094353367,1016.4650493404404
2024-12-11,0.005486660314401299,1022.0420477876324
2024-12-12,0.004506002965310672,1026.6473722856356
2024-12-13,-0.016760429129135297,1009.4403217618291
2024-12-16,-0.00785732349498242,1001.5088226048672
