交易时间,股票代码,股票名称,交易方向,成交价格,成交数量,成交金额,手续费,印花税,交易原因
2024-11-04 00:00:00,002148,002148,BUY,5.84166,81434,475709.74044,237.85487022,0.0,MA5上穿MA20
2024-11-04 00:00:00,002583,002583,BUY,22.88568,10893,249293.71224,124.64685612,0.0,MA5上穿MA20
2024-11-04 00:00:00,600839,600839,BUY,15.01998,8698,130643.78604,65.32189302,0.0,MA5上穿MA20
2024-11-05 00:00:00,002148,002148,SELL,5.86824,81434,477874.25616,238.93712808,477.87425616,风险控制卖出
2024-11-05 00:00:00,002583,002583,SELL,22.27536,10893,242645.49648,121.32274824000001,242.64549648000002,风险控制卖出
2024-11-05 00:00:00,002148,002148,BUY,5.89176,69709,410708.69784,205.35434892,0.0,MA5上穿MA20
2024-11-05 00:00:00,002583,002583,BUY,22.36464,9623,215214.93072,107.60746536,0.0,MA5上穿MA20
2024-11-05 00:00:00,600839,600839,BUY,14.45886,7801,112793.56685999999,56.39678343,0.0,MA5上穿MA20
2024-11-06 00:00:00,600839,600839,SELL,13.21352,16499,218009.86648000003,109.00493324000001,218.00986648000003,风险控制卖出
2024-11-06 00:00:00,002148,002148,SELL,6.057860000000001,69709,422287.36274000007,211.14368137000005,422.2873627400001,风险控制卖出
2024-11-06 00:00:00,002583,002583,SELL,23.18354,9623,223095.20542,111.54760271,223.09520542,风险控制卖出
2024-11-06 00:00:00,002148,002148,BUY,6.08214,77148,469224.93672,234.61246836,0.0,MA5上穿MA20
2024-11-06 00:00:00,002583,002583,BUY,23.27646,10564,245892.52344,122.94626172,0.0,MA5上穿MA20
2024-11-06 00:00:00,600839,600839,BUY,13.26648,9713,128857.32024,64.42866012,0.0,MA5上穿MA20
2024-11-07 00:00:00,002148,002148,SELL,6.1177399999999995,77148,471971.40552,235.98570275999998,471.97140551999996,风险控制卖出
2024-11-07 00:00:00,002583,002583,SELL,20.86818,10564,220451.45351999998,110.22572675999999,220.45145351999997,风险控制卖出
