交易时间,股票代码,股票名称,交易方向,成交价格,成交数量,成交金额,手续费,印花税,交易原因
2024-10-28 00:00:00,601126,601126,BUY,18.27648,26028,475700.22144,237.85011072,0.0,RSI超卖
2024-10-29 00:00:00,601126,601126,SELL,18.44304,26028,480035.44512,240.01772256,480.03544512,风险控制卖出
2024-10-30 00:00:00,000921,000921,BUY,28.97784,16471,477294.00264,238.64700132000002,0.0,RSI超卖
2024-10-31 00:00:00,000921,000921,SELL,27.944,16471,460265.624,230.132812,460.265624,风险控制卖出
2024-11-05 00:00:00,000157,000157,BUY,7.40478,63307,468774.40745999996,234.38720372999998,0.0,MA5上穿MA20
2024-11-05 00:00:00,000625,000625,BUY,14.318579999999999,17156,245649.55847999998,122.82477924,0.0,MA5上穿MA20
2024-11-05 00:00:00,600221,600221,BUY,1.84368,69831,128746.01808,64.37300904,0.0,MA5上穿MA20
2024-11-05 00:00:00,002423,002423,BUY,19.3386,3488,67453.0368,33.7265184,0.0,MA5上穿MA20
2024-11-05 00:00:00,002456,002456,BUY,17.334600000000002,2040,35362.584,17.681292000000003,0.0,MA5上穿MA20
2024-11-05 00:00:00,002583,002583,BUY,22.36464,828,18517.92192,9.258960960000001,0.0,MA5上穿MA20
2024-11-05 00:00:00,600031,600031,BUY,18.87768,514,9703.12752,5.0,0.0,MA5上穿MA20
2024-11-05 00:00:00,600406,600406,BUY,27.054,188,5086.152,5.0,0.0,MA5上穿MA20
2024-11-05 00:00:00,600839,600839,BUY,14.45886,185,2674.8891,5.0,0.0,MA5上穿MA20
2024-11-06 00:00:00,000157,000157,SELL,7.36524,63307,466271.24868,233.13562434000002,466.27124868000004,风险控制卖出
2024-11-06 00:00:00,000625,000625,SELL,14.35124,17156,246209.87344000002,123.10493672000001,246.20987344000002,风险控制卖出
2024-11-06 00:00:00,000157,000157,BUY,7.39476,45955,339826.1958,169.9130979,0.0,MA5上穿MA20
2024-11-06 00:00:00,000625,000625,BUY,14.408760000000001,12360,178092.27360000001,89.04613680000001,0.0,MA5上穿MA20
2024-11-06 00:00:00,600221,600221,BUY,2.02404,46110,93328.48439999999,46.6642422,0.0,MA5上穿MA20
2024-11-06 00:00:00,002423,002423,BUY,18.14622,2695,48904.0629,24.45203145,0.0,MA5上穿MA20
2024-11-06 00:00:00,002456,002456,BUY,16.633200000000002,1541,25631.761200000004,12.815880600000002,0.0,MA5上穿MA20
2024-11-06 00:00:00,002583,002583,BUY,23.27646,577,13430.51742,6.7152587100000005,0.0,MA5上穿MA20
2024-11-06 00:00:00,600031,600031,BUY,18.57708,379,7040.71332,5.0,0.0,MA5上穿MA20
